#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2422 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:31.85 aq:15.58 tex:94036 mv:47739 misc:6193 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:32.22 aq:20.79 tex:6657 mv:6220 misc:2987 imb:117 pmb:642 smb:7401 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:32.22 aq:22.79 tex:547 mv:1415 misc:1222 imb:4 pmb:174 smb:7982 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:32.22 aq:21.16 tex:122 mv:360 misc:686 imb:1 pmb:50 smb:8109 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:32.22 aq:19.94 tex:145 mv:483 misc:732 imb:4 pmb:57 smb:8099 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:31.90 aq:21.11 tex:10549 mv:8460 misc:3231 imb:193 pmb:857 smb:7110 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:32.06 aq:22.63 tex:770 mv:1647 misc:1311 imb:8 pmb:192 smb:7960 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:32.14 aq:20.82 tex:353 mv:609 misc:822 imb:5 pmb:78 smb:8077 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:31.98 aq:23.40 tex:481 mv:645 misc:842 imb:8 pmb:79 smb:8073 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:31.60 aq:21.57 tex:14104 mv:9950 misc:3314 imb:248 pmb:974 smb:6938 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:31.75 aq:22.83 tex:1825 mv:2728 misc:1951 imb:25 pmb:339 smb:7796 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:31.83 aq:23.88 tex:795 mv:779 misc:1106 imb:5 pmb:124 smb:8031 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:31.67 aq:23.45 tex:840 mv:692 misc:1116 imb:4 pmb:129 smb:8027 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:31.30 aq:21.59 tex:16427 mv:10681 misc:3348 imb:308 pmb:1061 smb:6791 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:31.45 aq:22.36 tex:2393 mv:2800 misc:2143 imb:22 pmb:406 smb:7732 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:31.52 aq:23.49 tex:1043 mv:784 misc:1229 imb:6 pmb:147 smb:8007 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:31.38 aq:22.30 tex:1117 mv:1131 misc:1280 imb:14 pmb:169 smb:7977 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:31.02 aq:20.96 tex:16680 mv:11293 misc:3435 imb:283 pmb:1190 smb:6687 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:31.16 aq:22.23 tex:2664 mv:3373 misc:2219 imb:28 pmb:440 smb:7692 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:31.23 aq:22.97 tex:1139 mv:1220 misc:1409 imb:7 pmb:201 smb:7952 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:31.09 aq:22.54 tex:963 mv:1298 misc:1355 imb:10 pmb:184 smb:7966 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:30.73 aq:21.50 tex:19809 mv:12160 misc:3375 imb:330 pmb:1253 smb:6577 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:30.87 aq:23.47 tex:3799 mv:3583 misc:2466 imb:43 pmb:515 smb:7602 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:30.94 aq:23.47 tex:1321 mv:1195 misc:1380 imb:14 pmb:194 smb:7952 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:30.80 aq:22.09 tex:772 mv:1313 misc:1331 imb:8 pmb:185 smb:7967 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:30.18 aq:20.07 tex:23398 mv:13152 misc:3194 imb:343 pmb:1365 smb:6452 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:30.46 aq:21.60 tex:3070 mv:3357 misc:2309 imb:32 pmb:464 smb:7664 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:30.59 aq:22.01 tex:1071 mv:1205 misc:1356 imb:8 pmb:186 smb:7966 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:30.32 aq:22.54 tex:1159 mv:1528 misc:1489 imb:7 pmb:228 smb:7925 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:23.13 aq:10.84 tex:160564 mv:23671 misc:1109 imb:549 pmb:2241 smb:5370 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:26.66 aq:18.25 tex:10710 mv:9030 misc:3564 imb:69 pmb:1191 smb:6900 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:28.42 aq:20.47 tex:2738 mv:2744 misc:2158 imb:21 pmb:439 smb:7700 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:24.89 aq:18.24 tex:8265 mv:6212 misc:3203 imb:28 pmb:1039 smb:7093 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:19.91 aq:8.21 tex:245305 mv:23009 misc:1174 imb:371 pmb:2379 smb:5410 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:21.52 aq:14.52 tex:34641 mv:18017 misc:2966 imb:64 pmb:1922 smb:6174 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:22.32 aq:16.22 tex:15935 mv:10990 misc:3251 imb:40 pmb:1498 smb:6622 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:20.71 aq:14.39 tex:20261 mv:12182 misc:3453 imb:50 pmb:1584 smb:6526 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:18.20 aq:6.41 tex:327145 mv:23167 misc:1112 imb:392 pmb:2340 smb:5428 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:19.05 aq:11.77 tex:49135 mv:19027 misc:3014 imb:74 pmb:1864 smb:6222 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:19.48 aq:13.63 tex:22159 mv:13518 misc:3443 imb:45 pmb:1573 smb:6542 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:18.63 aq:12.27 tex:24857 mv:13032 misc:3375 imb:45 pmb:1586 smb:6529 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:17.21 aq:6.12 tex:363953 mv:21909 misc:1290 imb:328 pmb:2351 smb:5481 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:17.70 aq:9.46 tex:60320 mv:18601 misc:2967 imb:73 pmb:1858 smb:6229 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:17.95 aq:12.00 tex:23723 mv:12619 misc:3450 imb:36 pmb:1481 smb:6643 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:17.45 aq:11.60 tex:26517 mv:12515 misc:3464 imb:35 pmb:1527 smb:6598 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:16.62 aq:5.44 tex:407069 mv:21868 misc:1335 imb:358 pmb:2290 smb:5512 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:16.91 aq:9.48 tex:64758 mv:16816 misc:3186 imb:49 pmb:1838 smb:6273 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:17.06 aq:11.46 tex:27943 mv:12188 misc:3605 imb:34 pmb:1502 smb:6624 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:16.77 aq:10.25 tex:26841 mv:10909 misc:3490 imb:20 pmb:1495 smb:6645 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:16.35 aq:5.38 tex:384653 mv:20521 misc:1514 imb:331 pmb:2284 smb:5545 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:16.48 aq:9.76 tex:64255 mv:16573 misc:3188 imb:45 pmb:1825 smb:6290 d:- ref:0 ;
